epoch: None | neg_loss: 1117.2706
epoch: None | neg_loss: 14.6578
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
epoch: None | neg_loss: 0.0000
